tic id,toi,tfopwg disposition,period (days),epoch (bjd),duration (hours),sectors
445392860,4988.01,PC,2.36965479187715,2459990.471484,1.89257676889008,"35,61,62"
128168083,7488.01,PC,3.90723655504214,2460805.536432,3.220528434174245,92
298729646,5653.01,PC,7.4992916,2459708.153898,3.724,"14,15,16,18,19,20,21,22,23,24,25,26,40,41,47,48,49,50"
115453244,2576.01,PC,3.8229149,2459544.238408,3.171,"19,43,44,45"
124029677,5153.01,CP,20.9108406,2459197.092933,4.478,"6,33"
368435330,1797.01,CP,3.6451549,2459631.901476,2.055,"22,48"
369532319,5967.01,PC,15.343585,2460563.656882,3.901,"16,56,83"
8995204,6832.01,PC,5.1392756,2460230.688907,2.426,"2,29,42,69,70"
344855300,7126.01,PC,3.2966077,2460443.355876,3.965,"17,24,57,58,77,78"
293435336,2403.01,KP,1.8098811293497352,2460985.484461,3.7636624066186646,"30,42,43,70,97"
97279971,6409.01,PC,1.5304279,2459987.356029,2.951,"6,7,33,34,61"
355138852,6773.01,PC,3.272056,2460149.775459,3.3,"27,67"
87873211,5077.01,PC,5.8879518,2460281.227232,3.534,"44,45,71,72"
458458156,5656.01,PC,3.2487833,2459685.802056,1.626,"23,50"
232025086,874.01,PC,5.904973267238251,2458439.488994,3.952874399927024,"5,6,7,32,33,34,61"
142394656,1268.01,CP,8.157721,2460359.607231,3.788,"15,21,22,41,48,49,75"
374800835,7211.01,PC,10.548504,2460533.070197,2.901,"55,81"
234519192,196.01,PC,1.16303717557098,2458354.303731,1.45686033041135,"2,28,29,68,69"
441572821,4161.01,PC,4.26077970193248,2459603.737866,6.44650030494822,"20,26,40,47,53,60"
339857675,686.01,PC,3.51376091187919,2458492.222242,1.75796913099372,"7,8,9,34,35,36,61,62,63"
24615998,4238.01,PC,1.2732245,2459277.637194,1.634,"8,9,35"
235684964,5666.01,PC,5.468394,2459827.478708,2.809,"14,15,16,17,18,19,20,21,22,23,24,40,41,47,48,49,50,51,52,56,57,58,59,60"
188814758,7077.01,PC,6.403011,2460557.395627,5.82,"15,41,55,56,76"
26547036,2010.01,CP,1134.67239633331,2459846.977285,8.68446227886302,"14,15,16,56"
335860261,3459.01,PC,8.4893234,2459354.893919,4.903,"11,12,38"
390021939,4030.01,PC,2.5089892,2459764.28652,2.341,"14,15,16,17,18,19,20,21,22,23,24,25,40,41,48,49,50,51,52,54,56"
94986319,421.01,CP,16.067522015214,2459195.308114,2.61823824440113,"5,6,32"
427332229,4523.01,KP,2.7186256,2459498.195167,2.129,"42,43"
53394475,5594.01,PC,9.2271917,2459589.072503,3.781,"20,47"
308692360,7594.01,PC,9.989211492147271,2460702.651463,4.544580973607684,"8,35,61,88"
79660831,6774.01,PC,4.5833112,2460150.349919,2.275,"13,27,67"
29191596,1792.01,PC,8.8164887,2459629.386516,3.895,"21,48"
149302744,699.02,PC,33.6336133,2460175.078683,5.352,"1,2,3,4,5,6,7,9,10,11,12,13,27,29,30,31,32,33,34,35,36,37,39,61,62,63,64,65,66,67,68,69"
207981861,3442.01,PC,3.4569274,2459380.445712,2.805,"12,39"
273780062,5888.01,PC,15.2501659,2459796.460281,4.331,"14,15,41,54,55"
377780790,5988.01,KP,0.837499676505658,2458683.867901,1.96408115030391,"14,40,41,53,54,55"
35857242,400.01,KP,3.6344447,2459169.279248,3.871,"4,31"
176685457,1935.01,KP,4.4352884,2459272.947539,1.89,"8,35"
366972162,4170.01,PC,2.190225,2459738.853306,3.151,"17,18,19,24,25,26,52"
165297570,5384.01,KP,2.9895092,2459610.390465,3.350388266192,48
440937096,4915.01,PC,3.3362143,2459991.530389,2.121,"9,10,36,37,62,63"
231289421,847.01,PC,3.20631071743491,2459118.662958,2.83623985936789,"2,3,30,69"
69819610,2324.01,PC,1.0371671871499426,2460933.032738,2.8975229778583147,"28,68,96"
10313047,7652.01,PC,4.554955257330636,2460681.074726,3.8221498557078735,"7,87"
322593401,5933.01,PC,5.5901313,2459823.723571,1.245,"15,16,41,55"
460316238,6638.01,PC,4.140097,2460092.279142,2.896,"11,38,65"
283829553,2301.01,PC,6.0541622,2460414.841007,4.592,"16,23,24,49,50,51,76,77"
381360757,5069.01,PC,8.8558739,2459519.107426,6.144,"42,43,44"
421990278,6778.01,PC,3.9718475,2460150.496193,1.09,"13,27,67"
230127302,1246.03,CP,5.90412784204916,2459740.304262,2.76783127597578,"14,15,16,17,19,20,21,22,23,24,25,26,40,41,47,49,50,51,52,53,54,55,56,57,58,59,60"
620780629,3620.01,PC,4.8893985,2459875.808716,2.848,"17,57"
229747848,1347.01,CP,0.847421801745099,2459664.026959,0.875876445310838,"14,15,16,17,19,20,21,22,23,24,25,26,40,41,47,49,50,51,52,53,54,55,56,57,58,59,60"
269850928,2608.01,PC,4.72466496081221,2459965.829329,4.30829241986889,"27,35,38,39,61"
46020827,7471.01,KP,9.391132602011536,2460794.2165,4.511764266588201,91
145023816,3421.01,PC,2.8389301,2459963.780552,2.45,"7,8,34,61"
150151262,712.04,CP,84.83869,2460082.804195,5.194,"3,4,5,6,7,9,10,11,13,27,29,30,31,32,33,34,36,37,39,61,62,63,64,65,66,67"
29781292,282.04,CP,22.8909855,2460176.09556,2.46565695629111,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,33,34,35,36,37,38,39,61,62,63,64,65,66,67,68"
183532609,191.01,KP,8.1587261,2460202.792714,4.288,"2,29,69"
55488511,557.01,PC,3.34490399270253,2458439.549649,1.34083490517831,"5,31"
306996324,776.01,CP,15.6653321885248,2458572.599749,2.99377989142734,"10,37,63"
303204165,4647.02,PC,11.0696103892699,2459451.391313,3.16811426886733,"42,43,57,70"
330637910,5561.01,PC,2.00745282887239,2459502.148194,0.934047486250039,"44,45,46"
384984325,6109.02,CP,5.6952223,2459900.819501,1.107,"18,58"
235072851,7385.01,PC,3.119119558143604,2460664.871072,2.0922004421799016,87
407313319,4017.01,PC,7.0423707,2459741.999561,2.687,"18,24,25,52"
229787062,2261.01,PC,1.90114521638404,2458983.8672,1.61285656367045,"14,15,16,17,18,19,20,22,23,25,26,40,41,47,48,49,50,52,53,54,55,56,57,59,60"
466222485,4278.01,PC,1.7519943,2459058.678662,1.624,"13,27"
437333618,843.01,KP,4.29864661021436,2458598.424853,3.14344829077489,"11,37,64"
388371132,7208.01,PC,3.6366231,2460529.165726,3.385,"54,81"
405485201,3409.01,PC,7.7605254,2459278.415912,3.639,"8,35"
142562395,3854.01,PC,3.2693612,2459940.223533,2.029,"14,20,21,41,47,48,60"
316769613,314.01,PC,10.18108,2458355.59503,3.674,"2,29"
236158940,5868.01,PC,2.677573,2459817.28767,2.885,"41,55"
441804533,5711.01,PC,16.3036749781653,2458753.183872,3.22193198371296,"16,17,22,47,48,49,50,51,52,53,54,55,56,57,58,59,60"
167085203,6700.01,PC,15.5177539035,2459977.682137,1.25724044928763,"61,63,64,65"
307849973,4567.01,PC,0.84094286383014,2458543.862361,1.1780505994394,"9,11,35,36,37,38,62,63,64,65,69"
292852583,6318.01,PC,5.8310296,2459903.846019,0.682,"18,58"
118603213,3384.01,PC,1.8592079,2459277.023695,2.212,"8,34"
175236511,5136.01,KP,7.8092052,2459550.096564,3.393,"44,45"
170849515,555.01,CP,1.94163656751314,2458438.147508,1.93213583652636,"5,31,32"
103751498,2579.01,KP,3.7146478,2459600.117319,3.835,"14,20,21,40,41,47"
373033374,3039.01,PC,3.412893,2459357.446143,2.6,"10,11,37,38"
458890024,6380.01,PC,5.1404883,2459933.989586,1.988,"18,19,59"
156377968,5645.01,PC,4.5362433,2459659.856199,2.936,"22,49"
386197662,5412.01,PC,0.3828485,2460234.16084,0.493,"6,33,44,45,71,72"
295093397,2901.01,PC,4.6086828,2459303.994531,4.283,"9,10,35,36"
143410850,2229.01,PC,4.98668,2458660.25609,2.267,"13,27"
325653071,6220.01,PC,19.6518502,2459868.567359,2.525,"16,56,57"
124778445,2503.01,KP,1.67515675725508,2459203.395868,2.27181939901218,33
336126253,5193.01,PC,18.9972068,2459408.15505,3.906,"14,26,40"
176899385,1373.01,KP,3.8529998,2460605.038813,3.225,"16,17,57,84"
159781361,2019.01,CP,15.3468182,2460431.584231,6.425,"16,23,24,50,77,78"
353038705,1389.01,PC,3.062624,2459851.063533,1.767,"15,16,56"
298297931,4492.01,PC,4.4331838,2460555.320385,3.856,"14,15,41,55,82"
52315301,2613.01,PC,15.2010859493248,2460155.218217,8.24670715255037,"1,28,29,68,69"
456401439,7241.01,PC,6.3377947,2460532.793481,1.639,"54,55,81"
440849210,4761.01,PC,3.7863767,2459575.895584,5.123,"7,33,44,45,46"
74389253,6941.01,PC,2.9371797,2460280.356726,4.009,"43,44,45,71,72"
313194972,4144.01,PC,16.9020565,2459744.991419,5.729,"19,20,26,40,52"
149989864,6690.01,PC,761.709227570951,2458327.776304,7.62960155991442,"1,2,3,4,5,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,37,38,39"
138727432,853.01,PC,6.8646554,2459139.838276,4.725,"3,30"
359403471,4929.01,PC,2.5547255,2459358.085914,2.953,"11,38"
119973835,6078.02,PC,25.0882806,2460440.795272,3.769,"25,51,52,78"
123357034,4129.01,PC,3.2724973,2459744.308725,1.459,"14,26,40,41,53"
385400633,3702.01,PC,2.2842184,2459907.09847,1.07,"18,19,58"
420114036,4162.01,PC,4.3744258,2459737.85419,5.275,"14,15,16,17,19,20,21,22,23,24,25,26,40,41,47,49,50,51,52"
385312460,5506.01,PC,19.5862903,2459556.878421,6.924,"36,46"
345697569,3941.01,PC,2.8817718,2459880.907454,2.842,"17,24,57"
139507260,3650.01,PC,1.7556768,2458814.194955,2.071,18
29781292,282.03,CP,84.2607644501296,2458355.648726,10.9250589902149,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,33,34,35,36,37,38,39,61,62,63,64,65"
237201858,2286.01,PC,179.403171245581,2458811.504844,10.7569967732681,"14,15,16,17,18,19,20,21,22,23,24,25,40,41,47,48,49,50,52,54,55,56,57,58,59,60"
97568467,2497.01,CP,10.655694026032,2459205.098381,7.82363216943283,"6,33,45,72"
9344899,4701.01,PC,8.5821795,2459197.981561,3.835,"5,32"
89020549,132.01,CP,2.1096804606002526,2458326.904918,2.134404262210766,"1,28,68"
148833828,4331.01,PC,2.9034242,2459360.395379,2.154,38
83154030,2528.01,PC,11.7248927,2459331.4467,5.928,"10,37"
367710318,7525.01,PC,1.7184539715894718,2460660.889987,1.272527491087883,"19,73,86"
68646526,4611.01,PC,5.2289874,2459520.906327,3.386,"43,44"
75744886,2917.01,PC,7.9018734,2459294.120029,3.18,"8,9,35,36"
136504576,2966.01,PC,1.5252473,2459304.992295,2.343,"9,10,36"
52368076,125.01,CP,4.6517186,2460206.744249,2.709,"1,2,28,68,69"
90127880,2914.01,PC,3.05158943579789,2459964.763408,3.26358579679276,"8,9,35,61,62"
123958679,893.01,PC,5.6148305,2459210.205916,3.829,"6,33"
38118291,4839.01,PC,13.3441946,2459273.977808,4.743,"8,35"
32004914,4814.01,PC,5.545745,2459246.539025,2.302,"7,34"
100990000,411.01,CP,9.573078691323715,2460970.919817,3.349035744924665,"3,4,30,31,97"
281575427,205.01,PC,4.252985694067112,2460929.161155,3.096122708814222,"1,2,28,29,68,69,95,96"
309254930,862.01,PC,3.3102158563415047,2459062.548458,2.7252649068091253,"28,31,32,35,36,37,38,61,62,63,64,65,68,69"
334798754,7256.01,PC,8.5748036,2460651.068411,11.208,"15,16,17,19,20,22,23,24,25,26,40,47,49,50,51,52,53,54,55,56,57,58,59,60,73,74,76,77,78,79,80,81,82"
417931300,2068.01,CP,7.769088748267731,2458683.416826,2.6251446616721834,"14,15,21,22,41,48,75"
193023697,6266.01,PC,2.7895524,2460013.265158,1.969,"9,36,62"
468433454,5593.01,PC,4.7974601,2459599.997854,5.952,47
149450435,6644.01,PC,42.7305626,2460150.015347,5.591,"1,2,3,4,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65"
376637093,1516.01,CP,2.0560153,2460449.201388,2.773,"17,18,24,25,57,58,77,78"
321802774,3206.01,PC,1.9405161,2459357.915255,3.344,"11,38"
5224772,2940.01,PC,4.5991516,2459301.079391,3.113,"8,9,35,36"
430099722,5336.01,PC,4.0153167,2459520.536355,3.825,44
183537452,192.01,KP,3.922711331243955,2460929.713786,2.6326626155608337,"2,29,69,96"
146406806,594.01,PC,13.9492616855279,2459237.954551,4.58053451599749,"7,8,34,35,61"
469702377,6188.01,PC,4.7061119,2459873.021669,3.03,"16,17,56,57"
299799658,1062.01,CP,4.1150576,2460177.200429,1.08,"1,13,27,28,66,67,68"
322504451,5243.01,PC,1.6087939,2459825.686941,1.966,"15,16,41,56"
397653875,7228.01,PC,2.9324083,2460528.227293,2.758,"54,80,81"
299780329,1869.01,PC,1.60243874712251,2459362.742783,1.00900137662734,"1,13,28,39"
239542854,6164.01,PC,3.6948038,2459850.906915,1.203,56
154762431,5951.01,PC,3.1728284,2459852.571596,1.777,"16,56"
115242351,297.01,PC,5.67483267319457,2459093.605469,1.783,"2,29,69"
449107129,5006.01,PC,4.254955,2459386.202615,4.228,"11,12,38,39"
446463666,4883.01,PC,4.4967355,2459328.308088,4.218,"9,10,36,37"
95234976,3820.01,PC,5.42907806809428,2459503.092356,3.10185056618397,"20,44,45,46,47,71,72"
58723861,5120.01,PC,24.9163182,2460267.926815,6.745,"44,45,71,72"
184801054,6465.01,PC,0.6593681,2460013.850462,0.395,"35,61,62"
429123881,7628.01,PC,4.039133142421085,2460655.445179,4.218958180930204,"19,59,86"
166086403,5387.01,PC,2.8037514,2459660.851073,2.771,"15,16,21,22,23,41,48,49"
332365162,5753.01,PC,7.4242482,2459742.005654,2.873,"25,51,52"
150320610,6725.01,PC,2.1476974,2460193.054335,1.669,"2,3,5,6,7,8,9,10,12,13,27,28,29,30,32,33,35,36,37,38,39,61,62,63,64,65,66,67,68"
391958006,5796.01,KP,1.74301433466147,2459771.551589,2.28721008515822,54
451606970,1214.01,PC,19.1807263962111,2458634.552482,3.9621083664021,"12,13,27,39,66,67"
431033767,7158.01,PC,3.338577,2460423.52283,3.519,"16,17,56,57,76,77"
297950791,5045.01,PC,3.4792084,2459386.865879,3.545,"12,39"
366315051,6608.01,PC,7.3144752,2460093.589256,1.481,"11,38,65"
270048796,6935.01,PC,1.763034,2460285.453378,1.849,"71,72"
115739057,6129.01,PC,5.0310168,2459847.900848,3.334,"16,56"
129890791,4965.01,PC,7.0857491,2459355.756466,5.047,"1,2,3,4,5,6,7,8,9,10,11,38"
262016897,7489.01,PC,15.145874607090873,2460811.793804,3.8705031640893313,92
260004324,704.01,CP,3.81430089729514,2458327.416979,1.3793952094512,"1,2,3,4,5,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,64,65,66,67,68,69"
